Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta	0.53	0.54	0.54	0.36	0.36
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	ANME-3	0.53	0.54	0.54	0.45	0.11
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina	0.53	0.54	0.54	0.45	0.47
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	GW2011_GWC1_47_15FA	-0.17	-0.17	-0.17	0.03	0.03
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	SCGC AAA011-D5FA	-0.17	-0.17	-0.17	-0.06	-0.06
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	WoesearchaealesOR	WoesearchaealesOR	-0.17	-0.17	-0.17	-0.17	-0.17
Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1OR	Marine Benthic Group D and DHVEG-1OR	0.24	0.24	0.14	0.14	0.14
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	MethanomassiliicoccaceaeFA	0.24	0.24	0.36	0.37	0.43
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	0.24	0.24	0.36	0.37	0.23
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	MethanomassiliicoccalesOR	MethanomassiliicoccalesOR	0.24	0.24	0.36	0.09	0.09
Archaea	Thermoplasmatota	Thermoplasmata	ThermoplasmataCL	ThermoplasmataCL	ThermoplasmataCL	0.24	0.24	-0.09	-0.09	-0.09
Bacteria	Acidobacteriota	Acidobacteriae	AcidobacteriaeCL	AcidobacteriaeCL	AcidobacteriaeCL	-0.08	0.11	-0.1	-0.1	-0.1
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidobacteriaceae (Subgroup 1)FA	-0.08	0.11	0.15	0.32	0.35
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidobacterium	-0.08	0.11	0.15	0.32	0.07
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter	-0.08	0.11	0.15	0.32	0.19
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	AcidobacterialesOR	AcidobacterialesOR	-0.08	0.11	0.15	0.15	0.15
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Cand. Koribacter	-0.08	0.11	0.15	0.05	0.05
Bacteria	Acidobacteriota	Acidobacteriae	AKIW659	AKIW659OR	AKIW659OR	-0.08	0.11	0.31	0.31	0.31
Bacteria	Acidobacteriota	Acidobacteriae	AMGG11	AMGG11OR	AMGG11OR	-0.08	0.11	0.38	0.38	0.38
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	-0.08	0.11	0	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	Elev-16S-1166OR	Elev-16S-1166OR	-0.08	0.11	0	0	0
Bacteria	Acidobacteriota	Acidobacteriae	GOUTB8	GOUTB8OR	GOUTB8OR	-0.08	0.11	0.3	0.3	0.3
Bacteria	Acidobacteriota	Acidobacteriae	Paludibaculum	PaludibaculumOR	PaludibaculumOR	-0.08	0.11	0.05	0.05	0.05
Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	PAUC26fOR	PAUC26fOR	-0.08	0.11	-0.21	-0.21	-0.21
Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Cand. Solibacter	-0.08	0.11	0.53	0.53	0.53
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 12	Subgroup 12OR	Subgroup 12OR	-0.08	0.11	-0.29	-0.29	-0.29
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	Subgroup 13OR	Subgroup 13OR	-0.08	0.11	-0.14	-0.14	-0.14
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	Subgroup 15OR	Subgroup 15OR	-0.08	0.11	-0.02	-0.02	-0.02
Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Subgroup 2OR	Subgroup 2OR	-0.08	0.11	-0.02	-0.02	-0.02
Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	AminicenantalesOR	AminicenantalesOR	-0.08	-0.06	-0.06	-0.06	-0.06
Bacteria	Acidobacteriota	AT-s3-28	AT-s3-28CL	AT-s3-28CL	AT-s3-28CL	-0.08	-0.26	-0.26	-0.26	-0.26
Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24OR	11-24OR	-0.08	0.2	-0.23	-0.23	-0.23
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	-0.08	0.2	-0.2	-0.2	-0.35
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	BlastocatellaceaeFA	-0.08	0.2	-0.2	-0.2	-0.1
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	-0.08	0.2	-0.2	-0.2	-0.14
Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100OR	DS-100OR	-0.08	0.2	-0.28	-0.28	-0.28
Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	-0.08	0.2	0.39	0.39	0.39
Bacteria	Acidobacteriota	d142	d142CL	d142CL	d142CL	-0.08	-0.12	-0.12	-0.12	-0.12
Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	-0.08	0.09	-0.11	-0.11	-0.27
Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Thermotomaculum	-0.08	0.09	-0.11	-0.11	-0.07
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	-0.08	0.09	0.16	0.16	0.12
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	HolophagaceaeFA	-0.08	0.09	0.16	0.16	0.2
Bacteria	Acidobacteriota	Holophagae	Subgroup 7	Subgroup 7OR	Subgroup 7OR	-0.08	0.09	-0.02	-0.02	-0.02
Bacteria	Acidobacteriota	ODP1230B23.02	ODP1230B23.02CL	ODP1230B23.02CL	ODP1230B23.02CL	-0.08	-0.17	-0.17	-0.17	-0.17
Bacteria	Acidobacteriota	Subgroup 11	Subgroup 11CL	Subgroup 11CL	Subgroup 11CL	-0.08	-0.29	-0.29	-0.29	-0.29
Bacteria	Acidobacteriota	Subgroup 18	Subgroup 18CL	Subgroup 18CL	Subgroup 18CL	-0.08	0.02	0.02	0.02	0.02
Bacteria	Acidobacteriota	Subgroup 21	Subgroup 21CL	Subgroup 21CL	Subgroup 21CL	-0.08	-0.31	-0.31	-0.31	-0.31
Bacteria	Acidobacteriota	Subgroup 22	Subgroup 22CL	Subgroup 22CL	Subgroup 22CL	-0.08	-0.34	-0.34	-0.34	-0.34
Bacteria	Acidobacteriota	Subgroup 25	Subgroup 25CL	Subgroup 25CL	Subgroup 25CL	-0.08	0.09	0.09	0.09	0.09
Bacteria	Acidobacteriota	Subgroup 26	Subgroup 26CL	Subgroup 26CL	Subgroup 26CL	-0.08	-0.31	-0.31	-0.31	-0.31
Bacteria	Acidobacteriota	Subgroup 5	Subgroup 5CL	Subgroup 5CL	Subgroup 5CL	-0.08	-0.05	-0.05	-0.05	-0.05
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	-0.08	-0.39	-0.39	-0.39	-0.27
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23	-0.08	-0.39	-0.39	-0.39	-0.28
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum	-0.08	-0.39	-0.39	-0.39	-0.07
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	TPD-58	-0.08	-0.39	-0.39	-0.39	0.18
Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	Subgroup 17OR	Subgroup 17OR	-0.08	0.06	-0.33	-0.33	-0.33
Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	Subgroup 9OR	Subgroup 9OR	-0.08	0.06	-0.33	-0.33	-0.33
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	-0.08	0.06	0.23	0.42	0.36
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	-0.08	0.06	0.23	0.42	0.02
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	VicinamibacteraceaeFA	-0.08	0.06	0.23	0.42	0.42
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	VicinamibacteralesOR	VicinamibacteralesOR	-0.08	0.06	0.23	0.11	0.11
Bacteria	Actinobacteriota	Acidimicrobiia	AcidimicrobiiaCL	AcidimicrobiiaCL	AcidimicrobiiaCL	0.35	0.1	0.41	0.41	0.41
Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	ActinomarinalesOR	ActinomarinalesOR	0.35	0.1	0.12	0.12	0.12
Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256OR	IMCC26256OR	0.35	0.1	0.24	0.24	0.24
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	0.35	0.1	-0.13	0.14	0.14
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	0.35	0.1	-0.13	-0.24	-0.26
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	IlumatobacteraceaeFA	0.35	0.1	-0.13	-0.24	0.28
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	0.35	0.1	-0.13	-0.19	-0.18
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	MicrotrichaceaeFA	0.35	0.1	-0.13	-0.19	0.02
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	0.35	0.1	-0.13	-0.19	-0.11
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	MicrotrichalesOR	MicrotrichalesOR	0.35	0.1	-0.13	0.28	0.28
Bacteria	Actinobacteriota	Actinobacteria	0319-7L14	0319-7L14OR	0319-7L14OR	0.35	0.38	0.36	0.36	0.36
Bacteria	Actinobacteriota	Actinobacteria	ActinobacteriaCL	ActinobacteriaCL	ActinobacteriaCL	0.35	0.38	0.02	0.02	0.02
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	0.35	0.38	0.06	-0.02	-0.02
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	0.35	0.38	0.06	0.52	0.46
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	0.35	0.38	0.06	0.52	0.46
Bacteria	Actinobacteriota	Actinobacteria	FFCH16263	FFCH16263OR	FFCH16263OR	0.35	0.38	-0.28	-0.28	-0.28
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	0.35	0.38	0.19	-0.06	-0.06
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	0.35	0.38	0.19	-0.06	-0.06
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	FrankialesOR	FrankialesOR	0.35	0.38	0.19	-0.05	-0.05
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	0.35	0.38	0.19	0.45	0.45
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Cand. Planktophila	0.35	0.38	0.19	0.48	0.19
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	0.35	0.38	0.19	0.48	0.19
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthya	0.35	0.38	0.19	0.48	-0.01
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	SporichthyaceaeFA	0.35	0.38	0.19	0.48	0.49
Bacteria	Actinobacteriota	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	0.35	0.38	0.4	0.4	0.4
Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	KineosporiaceaeFA	0.35	0.38	0.23	0.23	0.23
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Beutenbergiaceae	Beutenbergia	0.35	0.38	0.02	0.05	0.05
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea	0.35	0.38	0.02	0.23	0.23
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina	0.35	0.38	0.02	0.04	0.04
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	IntrasporangiaceaeFA	0.35	0.38	0.02	-0.19	-0.18
